directory,physicalFileCount
<root>,4
Clawed/Binaries/Win64,69
Clawed/Binaries/Win64/D3D12,2
Clawed/Binaries/Win64/DML,1
Clawed/Content/Movies,7
Clawed/Content/Paks,5
Engine/Binaries/ThirdParty/DbgHelp,1
Engine/Binaries/ThirdParty/MsQuic/v220/win64,1
Engine/Binaries/ThirdParty/NVIDIA/NVaftermath/Win64,1
Engine/Binaries/ThirdParty/Ogg/Win64/VS2015,1
Engine/Binaries/ThirdParty/Steamworks/Steamv157/Win64,1
Engine/Binaries/ThirdParty/Vorbis/Win64/VS2015,2
Engine/Binaries/ThirdParty/Windows/XAudio2_9/x64,1
Engine/Binaries/Win64,58
Engine/Config,1
Engine/Content/Renderer,1
Engine/Content/Slate/Cursor,1
Engine/Content/SlateDebug/Fonts,2
Engine/Extras/Redist/en-us,1
Engine/Plugins/NNE/NNERuntimeORT/Binaries/ThirdParty/Onnxruntime/Win64,1
